"                   Perusahaan
Tanggal";LQ45;ADROJK;ANTM;ASII;BBCA;BBNI;BBRI;BBTN;BMRI;CPINJK;EXCLJK;ICBPJK;INCOJK;INDFJK;INKPJK;INTPJK;ITMGJK;KLBFJK;MEDCJK;MDKAJK;PGASJK;PTBAJK;SMGRJK;TBIGJK;TLKMJK;TOWRJK;TPIAJK;UNTRJK;UNVRJK
01/02/2021;947,30;1.230,00;2.600,00;6.025,00;6.820,00;2.925,00;3.999,93;1.488,08;3.350,00;6.100,00;2.310,00;9.225,00;6.250,00;6.250,00;13.800,00;14.100,00;12.475,00;1.490,00;660,00;2.731,68;1.455,00;2.610,00;11.493,02;2.700,00;3.230,00;980,00;2.656,25;23.850,00;7.025,00
02/02/2021;938,71;1.200,00;2.420,00;5.975,00;6.800,00;2.950,00;3.963,57;1.545,82;3.237,50;6.000,00;2.270,00;9.500,00;5.900,00;6.325,00;13.375,00;14.475,00;12.075,00;1.520,00;675,00;2.565,83;1.470,00;2.490,00;10.919,62;2.520,00;3.270,00;1.005,00;2.643,75;22.575,00;7.000,00
03/02/2021;940,86;1.170,00;2.330,00;6.150,00;6.825,00;3.150,00;3.981,75;1.536,94;3.250,00;5.775,00;2.340,00;9.425,00;5.850,00;6.300,00;13.075,00;14.250,00;11.675,00;1.560,00;690,00;2.507,30;1.485,00;2.410,00;10.844,83;2.350,00;3.240,00;1.025,00;2.675,00;22.450,00;7.175,00
04/02/2021;949,30;1.165,00;2.400,00;6.200,00;6.855,00;3.137,50;4.081,75;1.554,71;3.287,50;5.775,00;2.410,00;9.325,00;5.850,00;6.325,00;14.675,00;13.650,00;12.125,00;1.545,00;670,00;2.419,49;1.460,00;2.480,00;10.595,52;2.330,00;3.290,00;1.030,00;2.687,50;22.350,00;7.300,00
05/02/2021;953,58;1.210,00;2.660,00;6.100,00;6.915,00;3.150,00;4.063,57;1.590,24;3.275,00;5.875,00;2.370,00;9.225,00;6.025,00;6.325,00;13.925,00;13.850,00;12.600,00;1.590,00;685,00;2.399,98;1.475,00;2.560,00;11.218,79;2.250,00;3.290,00;1.050,00;2.731,25;23.100,00;7.225,00
08/02/2021;957,56;1.220,00;2.830,00;6.100,00;6.920,00;3.150,00;4.054,48;1.590,24;3.287,50;5.900,00;2.340,00;9.100,00;6.150,00;6.250,00;14.225,00;13.975,00;12.725,00;1.570,00;705,00;2.448,76;1.495,00;2.610,00;11.019,34;2.260,00;3.280,00;1.055,00;2.768,75;24.325,00;7.100,00
09/02/2021;950,33;1.210,00;2.730,00;5.825,00;6.980,00;3.112,50;4.199,93;1.541,38;3.250,00;5.900,00;2.330,00;8.800,00;5.950,00;6.150,00;13.975,00;13.900,00;12.575,00;1.520,00;690,00;2.487,78;1.430,00;2.590,00;10.869,76;2.110,00;3.200,00;1.020,00;2.818,75;23.525,00;7.100,00
10/02/2021;953,03;1.200,00;2.930,00;5.900,00;6.920,00;3.100,00;4.227,20;1.545,82;3.250,00;5.950,00;2.340,00;9.000,00;6.025,00;6.125,00;14.025,00;13.975,00;12.500,00;1.525,00;680,00;2.497,54;1.405,00;2.550,00;11.019,34;2.180,00;3.190,00;1.075,00;2.687,50;23.475,00;7.150,00
11/02/2021;953,56;1.215,00;2.870,00;5.850,00;6.880,00;3.100,00;4.254,47;1.536,94;3.250,00;6.075,00;2.340,00;8.975,00;6.375,00;6.300,00;14.125,00;13.875,00;12.950,00;1.525,00;680,00;2.517,05;1.420,00;2.590,00;10.919,62;2.080,00;3.190,00;1.075,00;2.706,25;23.500,00;7.175,00
15/02/2021;959,32;1.215,00;2.900,00;5.950,00;6.800,00;3.112,50;4.281,74;1.647,99;3.250,00;6.125,00;2.300,00;8.975,00;6.300,00;6.150,00;14.800,00;13.850,00;12.750,00;1.525,00;695,00;2.478,03;1.520,00;2.600,00;11.144,00;2.140,00;3.220,00;1.080,00;2.800,00;23.250,00;7.050,00
16/02/2021;959,89;1.210,00;2.870,00;5.925,00;6.940,00;3.175,00;4.245,38;1.714,62;3.237,50;6.325,00;2.210,00;8.825,00;6.225,00;6.100,00;14.725,00;13.850,00;12.675,00;1.525,00;680,00;2.487,78;1.505,00;2.600,00;10.994,41;2.180,00;3.210,00;1.065,00;2.806,25;23.100,00;7.025,00
17/02/2021;946,67;1.180,00;2.750,00;5.800,00;6.900,00;3.075,00;4.209,02;1.665,76;3.175,00;6.200,00;2.160,00;8.825,00;6.075,00;6.100,00;14.125,00;13.425,00;12.350,00;1.515,00;680,00;2.497,54;1.465,00;2.560,00;10.944,55;2.140,00;3.150,00;1.060,00;2.743,75;22.850,00;7.100,00
18/02/2021;940,68;1.175,00;2.780,00;5.725,00;6.735,00;3.012,50;4.245,38;1.652,43;3.125,00;6.075,00;2.180,00;8.750,00;6.200,00;6.050,00;13.925,00;13.575,00;12.150,00;1.490,00;695,00;2.585,34;1.450,00;2.560,00;10.670,31;2.130,00;3.180,00;1.090,00;2.606,25;22.975,00;6.975,00
19/02/2021;951,85;1.180,00;2.880,00;5.775,00;6.825,00;3.000,00;4.354,47;1.670,20;3.187,50;6.200,00;2.140,00;8.600,00;6.325,00;6.075,00;13.925,00;13.725,00;12.200,00;1.585,00;680,00;2.565,83;1.450,00;2.550,00;10.720,17;2.180,00;3.210,00;1.090,00;2.568,75;23.075,00;6.950,00
22/02/2021;951,24;1.210,00;2.950,00;5.700,00;6.790,00;2.962,50;4.354,47;1.714,62;3.187,50;5.950,00;2.130,00;8.625,00;6.425,00;6.050,00;14.200,00;13.425,00;12.775,00;1.570,00;700,00;2.760,95;1.455,00;2.740,00;10.495,80;2.160,00;3.170,00;1.135,00;2.562,50;23.250,00;6.875,00
23/02/2021;959,21;1.205,00;2.940,00;5.725,00;6.825,00;2.975,00;4.354,47;1.776,81;3.162,50;6.050,00;2.220,00;8.550,00;6.475,00;6.050,00;14.225,00;13.275,00;12.275,00;1.540,00;720,00;2.682,90;1.450,00;2.720,00;10.421,01;2.170,00;3.470,00;1.160,00;2.556,25;23.125,00;6.850,00
24/02/2021;950,72;1.185,00;2.910,00;5.625,00;6.725,00;3.037,50;4.299,93;1.865,65;3.187,50;6.050,00;2.160,00;8.650,00;6.300,00;6.100,00;13.625,00;13.075,00;12.125,00;1.505,00;700,00;2.614,61;1.425,00;2.630,00;10.246,49;2.120,00;3.480,00;1.165,00;2.462,50;22.550,00;6.850,00
25/02/2021;952,54;1.200,00;2.960,00;5.575,00;6.705,00;3.037,50;4.299,93;1.874,53;3.137,50;6.100,00;2.220,00;8.575,00;6.300,00;6.125,00;13.725,00;13.050,00;12.100,00;1.500,00;710,00;2.663,39;1.455,00;2.680,00;10.296,35;2.100,00;3.490,00;1.205,00;2.481,25;23.650,00;6.775,00
26/02/2021;944,75;1.180,00;2.840,00;5.400,00;6.710,00;2.975,00;4.281,74;1.838,99;3.075,00;6.150,00;2.200,00;8.575,00;6.075,00;6.050,00;13.175,00;12.500,00;12.200,00;1.470,00;695,00;2.760,95;1.440,00;2.710,00;10.171,70;2.170,00;3.490,00;1.265,00;2.437,50;22.550,00;7.000,00
01/03/2021;967,72;1.185,00;2.840,00;5.600,00;7.045,00;3.112,50;4.390,83;1.892,30;3.287,50;6.250,00;2.220,00;8.600,00;6.075,00;6.100,00;12.950,00;12.900,00;12.050,00;1.520,00;700,00;2.770,71;1.460,00;2.720,00;10.645,38;2.210,00;3.490,00;1.225,00;2.400,00;22.950,00;6.825,00
02/03/2021;967,66;1.185,00;2.730,00;5.575,00;7.015,00;3.075,00;4.363,56;1.910,07;3.300,00;6.300,00;2.250,00;8.700,00;5.875,00;6.275,00;13.250,00;13.775,00;12.000,00;1.550,00;685,00;2.604,86;1.470,00;2.730,00;11.667,54;2.170,00;3.460,00;1.225,00;2.443,75;22.900,00;6.825,00
03/03/2021;968,22;1.185,00;2.700,00;5.675,00;7.000,00;3.012,50;4.409,01;1.883,41;3.300,00;6.375,00;2.240,00;8.725,00;5.925,00;6.300,00;12.975,00;13.400,00;11.925,00;1.550,00;665,00;2.682,90;1.465,00;2.710,00;11.293,58;2.170,00;3.440,00;1.265,00;2.443,75;22.775,00;6.875,00
04/03/2021;948,47;1.220,00;2.520,00;5.575,00;6.720,00;3.000,00;4.327,20;1.892,30;3.275,00;6.300,00;2.220,00;8.600,00;5.525,00;6.200,00;12.650,00;13.400,00;11.900,00;1.555,00;650,00;2.556,08;1.425,00;2.710,00;11.168,93;2.140,00;3.360,00;1.210,00;2.431,25;22.350,00;6.725,00
05/03/2021;941,36;1.180,00;2.420,00;5.500,00;6.800,00;3.000,00;4.336,29;1.874,53;3.237,50;6.350,00;2.190,00;8.500,00;5.150,00;6.125,00;12.100,00;13.275,00;11.675,00;1.555,00;655,00;2.536,56;1.400,00;2.710,00;11.168,93;2.070,00;3.320,00;1.175,00;2.356,25;21.800,00;6.725,00
08/03/2021;940,24;1.175,00;2.280,00;5.550,00;6.720,00;3.000,00;4.299,93;1.910,07;3.212,50;6.300,00;2.180,00;8.375,00;4.830,00;6.175,00;12.375,00;13.250,00;11.650,00;1.555,00;670,00;2.487,78;1.410,00;2.680,00;10.894,69;2.060,00;3.340,00;1.185,00;2.387,50;23.325,00;6.650,00
09/03/2021;927,85;1.165,00;2.230,00;5.525,00;6.605,00;2.987,50;4.163,56;1.776,81;3.212,50;6.600,00;2.130,00;8.325,00;4.550,00;6.200,00;12.525,00;13.275,00;11.450,00;1.545,00;655,00;2.399,98;1.375,00;2.610,00;10.969,48;2.030,00;3.290,00;1.165,00;2.381,25;22.525,00;6.550,00
10/03/2021;939,20;1.170,00;2.230,00;5.425,00;6.705,00;3.025,00;4.209,02;1.767,92;3.250,00;6.850,00;2.120,00;8.375,00;4.530,00;6.400,00;12.575,00;13.325,00;11.425,00;1.585,00;645,00;2.439,00;1.385,00;2.600,00;11.268,65;2.110,00;3.400,00;1.175,00;2.468,75;21.200,00;6.575,00
12/03/2021;950,83;1.210,00;2.420,00;5.475,00;6.765,00;3.075,00;4.163,56;1.754,60;3.362,50;6.775,00;2.150,00;8.375,00;4.640,00;6.375,00;13.325,00;13.100,00;11.550,00;1.595,00;655,00;2.429,25;1.410,00;2.730,00;11.393,30;2.100,00;3.450,00;1.240,00;2.643,75;21.225,00;6.700,00
15/03/2021;943,09;1.235,00;2.340,00;5.525,00;6.665,00;3.162,50;4.154,47;1.750,15;3.325,00;6.650,00;2.150,00;8.500,00;4.710,00;6.400,00;13.200,00;12.625,00;11.825,00;1.585,00;650,00;2.409,73;1.410,00;2.740,00;11.094,13;2.110,00;3.380,00;1.195,00;2.631,25;21.100,00;6.575,00
16/03/2021;943,11;1.220,00;2.270,00;5.550,00;6.625,00;3.112,50;4.290,83;1.745,71;3.275,00;6.700,00;2.220,00;8.600,00;4.560,00;6.400,00;12.625,00;12.650,00;11.875,00;1.585,00;650,00;2.360,95;1.390,00;2.710,00;11.094,13;2.090,00;3.360,00;1.155,00;2.662,50;21.175,00;6.550,00
17/03/2021;939,63;1.230,00;2.300,00;5.575,00;6.610,00;3.050,00;4.245,38;1.710,18;3.262,50;6.700,00;2.210,00;8.625,00;4.510,00;6.350,00;12.425,00;12.725,00;11.725,00;1.590,00;630,00;2.351,20;1.385,00;2.710,00;11.044,27;2.100,00;3.390,00;1.125,00;2.706,25;21.050,00;6.475,00
18/03/2021;956,84;1.270,00;2.290,00;5.725,00;6.705,00;3.137,50;4.327,20;1.719,06;3.400,00;6.750,00;2.210,00;8.700,00;4.590,00;6.300,00;13.075,00;12.925,00;12.275,00;1.575,00;625,00;2.380,47;1.405,00;2.750,00;11.343,44;2.160,00;3.450,00;1.145,00;2.731,25;21.700,00;6.600,00
19/03/2021;957,74;1.300,00;2.250,00;5.775,00;6.760,00;3.075,00;4.245,38;1.705,73;3.387,50;6.950,00;2.210,00;8.825,00;4.500,00;6.500,00;12.475,00;13.800,00;12.375,00;1.605,00;615,00;2.351,20;1.425,00;2.760,00;11.767,26;2.060,00;3.440,00;1.150,00;2.750,00;21.875,00;6.750,00
22/03/2021;944,28;1.285,00;2.260,00;5.575,00;6.620,00;3.050,00;4.209,02;1.679,08;3.312,50;6.850,00;2.160,00;8.825,00;4.520,00;6.350,00;12.475,00;13.600,00;12.450,00;1.600,00;630,00;2.312,17;1.400,00;2.770,00;11.567,82;2.070,00;3.380,00;1.110,00;2.750,00;21.625,00;6.700,00
23/03/2021;940,52;1.300,00;2.270,00;5.575,00;6.565,00;3.050,00;4.245,38;1.625,78;3.337,50;6.775,00;2.150,00;9.200,00;4.500,00;6.675,00;12.000,00;13.275,00;12.650,00;1.575,00;610,00;2.282,91;1.380,00;2.800,00;11.343,44;2.050,00;3.360,00;1.100,00;2.725,00;21.450,00;6.750,00
24/03/2021;925,96;1.225,00;2.170,00;5.450,00;6.440,00;2.975,00;4.245,38;1.590,24;3.212,50;6.775,00;2.080,00;9.250,00;4.300,00;6.725,00;11.500,00;13.000,00;12.075,00;1.525,00;590,00;2.204,86;1.360,00;2.740,00;11.493,02;1.980,00;3.370,00;1.100,00;2.631,25;21.100,00;6.575,00
25/03/2021;924,67;1.205,00;2.180,00;5.450,00;6.370,00;2.950,00;4.199,93;1.585,80;3.200,00;6.850,00;2.090,00;8.950,00;4.360,00;6.625,00;11.675,00;13.175,00;11.950,00;1.590,00;595,00;2.214,61;1.325,00;2.690,00;11.243,72;2.040,00;3.410,00;1.100,00;2.681,25;21.350,00;6.650,00
26/03/2021;938,83;1.220,00;2.430,00;5.600,00;6.415,00;3.025,00;4.290,83;1.639,10;3.212,50;6.875,00;2.100,00;9.100,00;4.680,00;6.750,00;11.725,00;13.075,00;12.200,00;1.580,00;610,00;2.273,15;1.360,00;2.700,00;11.044,27;2.060,00;3.490,00;1.105,00;2.725,00;21.900,00;6.600,00
29/03/2021;933,53;1.205,00;2.260,00;5.525,00;6.360,00;3.025,00;4.290,83;1.599,13;3.187,50;7.175,00;2.090,00;9.225,00;4.540,00;6.800,00;11.575,00;13.000,00;12.175,00;1.540,00;600,00;2.243,88;1.375,00;2.680,00;11.119,06;2.060,00;3.410,00;1.100,00;2.743,75;21.800,00;6.725,00
30/03/2021;916,88;1.175,00;2.210,00;5.400,00;6.395,00;2.900,00;4.090,84;1.545,82;3.162,50;7.250,00;2.050,00;9.075,00;4.500,00;6.700,00;11.000,00;12.600,00;11.850,00;1.540,00;590,00;2.146,32;1.325,00;2.630,00;10.844,83;2.040,00;3.380,00;1.100,00;2.818,75;21.500,00;6.550,00
31/03/2021;902,79;1.175,00;2.250,00;5.275,00;6.215,00;2.862,50;3.999,93;1.528,05;3.075,00;7.000,00;2.090,00;9.200,00;4.380,00;6.600,00;10.450,00;12.225,00;11.425,00;1.570,00;570,00;2.097,54;1.315,00;2.620,00;10.396,08;2.070,00;3.420,00;1.100,00;2.781,25;22.125,00;6.575,00
01/04/2021;901,86;1.180,00;2.240,00;5.350,00;6.225,00;2.837,50;3.899,93;1.532,50;3.100,00;6.975,00;2.090,00;8.950,00;4.480,00;6.725,00;10.625,00;12.500,00;11.700,00;1.550,00;575,00;2.185,35;1.315,00;2.650,00;10.396,08;2.050,00;3.390,00;1.100,00;2.781,25;22.175,00;6.625,00
05/04/2021;895,68;1.185,00;2.200,00;5.350,00;6.155,00;2.875,00;3.818,12;1.519,17;3.112,50;7.100,00;2.070,00;8.925,00;4.430,00;6.650,00;10.475,00;12.225,00;12.700,00;1.550,00;575,00;2.195,10;1.280,00;2.540,00;10.271,42;2.040,00;3.380,00;1.100,00;2.750,00;22.200,00;6.475,00
06/04/2021;900,02;1.210,00;2.330,00;5.350,00;6.165,00;2.912,50;3.818,12;1.541,38;3.137,50;7.050,00;2.160,00;8.825,00;4.660,00;6.750,00;10.650,00;12.175,00;12.575,00;1.555,00;590,00;2.253,64;1.295,00;2.520,00;10.346,21;2.050,00;3.370,00;1.100,00;2.762,50;22.325,00;6.475,00
07/04/2021;904,13;1.220,00;2.360,00;5.325,00;6.250,00;2.887,50;3.818,12;1.510,29;3.162,50;7.150,00;2.200,00;8.900,00;4.680,00;6.775,00;10.725,00;12.400,00;12.600,00;1.550,00;580,00;2.243,88;1.300,00;2.520,00;10.321,28;2.110,00;3.400,00;1.095,00;2.737,50;22.325,00;6.525,00
08/04/2021;906,62;1.230,00;2.470,00;5.300,00;6.135,00;2.900,00;3.954,48;1.505,84;3.137,50;7.075,00;2.160,00;8.800,00;4.820,00;6.675,00;10.700,00;12.400,00;12.575,00;1.565,00;580,00;2.243,88;1.300,00;2.540,00;10.221,56;2.120,00;3.390,00;1.085,00;2.775,00;22.575,00;6.600,00
09/04/2021;906,49;1.205,00;2.340,00;5.275,00;6.200,00;3.000,00;3.954,48;1.541,38;3.237,50;6.925,00;2.160,00;8.875,00;4.620,00;6.600,00;10.075,00;12.450,00;12.375,00;1.550,00;605,00;2.126,81;1.320,00;2.540,00;10.346,21;2.110,00;3.360,00;1.105,00;2.762,50;22.725,00;6.475,00
12/04/2021;882,81;1.180,00;2.250,00;5.075,00;6.065,00;2.925,00;3.827,21;1.434,77;3.150,00;7.000,00;2.070,00;8.650,00;4.460,00;6.600,00;9.375,00;12.225,00;11.900,00;1.510,00;575,00;2.126,81;1.230,00;2.460,00;9.897,46;2.130,00;3.310,00;1.090,00;2.737,50;21.425,00;6.325,00
13/04/2021;881,69;1.160,00;2.270,00;5.075,00;6.000,00;2.900,00;3.781,75;1.425,89;3.150,00;7.000,00;2.040,00;8.625,00;4.370,00;6.575,00;9.675,00;12.225,00;11.700,00;1.490,00;565,00;2.087,79;1.180,00;2.460,00;10.470,87;2.360,00;3.330,00;1.125,00;2.706,25;22.525,00;6.225,00
14/04/2021;904,88;1.195,00;2.330,00;5.250,00;6.305,00;2.950,00;3.954,48;1.479,19;3.162,50;7.150,00;2.070,00;8.750,00;4.430,00;6.575,00;9.900,00;12.850,00;12.075,00;1.495,00;580,00;2.156,08;1.210,00;2.420,00;11.019,34;2.480,00;3.340,00;1.140,00;2.731,25;22.250,00;6.300,00
15/04/2021;908,44;1.190,00;2.320,00;5.250,00;6.280,00;2.987,50;4.009,02;1.443,66;3.150,00;7.750,00;2.050,00;8.750,00;4.310,00;6.650,00;9.675,00;12.925,00;11.925,00;1.515,00;580,00;2.136,57;1.205,00;2.370,00;10.794,97;2.600,00;3.360,00;1.115,00;2.693,75;21.700,00;6.400,00
